accuracy,loss,val_accuracy,val_loss
0.6463560461997986,,0.5904762148857117,
0.6463560461997986,,0.5904762148857117,
0.6463560461997986,,0.5904762148857117,
0.6463560461997986,,0.5904762148857117,
0.6463560461997986,,0.5904762148857117,
0.6463560461997986,,0.5904762148857117,
0.6463560461997986,,0.5904762148857117,
0.6463560461997986,,0.5904762148857117,
0.6463560461997986,,0.5904762148857117,
0.6463560461997986,,0.5904762148857117,
0.6463560461997986,,0.5904762148857117,
0.6463560461997986,,0.5904762148857117,
0.6463560461997986,,0.5904762148857117,
0.6463560461997986,,0.5904762148857117,
0.6463560461997986,,0.5904762148857117,
0.6463560461997986,,0.5904762148857117,
0.6463560461997986,,0.5904762148857117,
0.6463560461997986,,0.5904762148857117,
0.6463560461997986,,0.5904762148857117,
0.6463560461997986,,0.5904762148857117,
0.6463560461997986,,0.5904762148857117,
0.6463560461997986,,0.5904762148857117,
0.6463560461997986,,0.5904762148857117,
0.6463560461997986,,0.5904762148857117,
0.6463560461997986,,0.5904762148857117,
0.6463560461997986,,0.5904762148857117,
0.6463560461997986,,0.5904762148857117,
0.6463560461997986,,0.5904762148857117,
0.6463560461997986,,0.5904762148857117,
0.6463560461997986,,0.5904762148857117,
0.6463560461997986,,0.5904762148857117,
0.6463560461997986,,0.5904762148857117,
0.6463560461997986,,0.5904762148857117,
0.6463560461997986,,0.5904762148857117,
0.6463560461997986,,0.5904762148857117,
0.6463560461997986,,0.5904762148857117,
0.6463560461997986,,0.5904762148857117,
0.6463560461997986,,0.5904762148857117,
0.6463560461997986,,0.5904762148857117,
0.6463560461997986,,0.5904762148857117,
0.6463560461997986,,0.5904762148857117,
0.6463560461997986,,0.5904762148857117,
0.6463560461997986,,0.5904762148857117,
0.6463560461997986,,0.5904762148857117,
0.6463560461997986,,0.5904762148857117,
0.6463560461997986,,0.5904762148857117,
0.6463560461997986,,0.5904762148857117,
0.6463560461997986,,0.5904762148857117,
0.6463560461997986,,0.5904762148857117,
0.6463560461997986,,0.5904762148857117,
